date,category,product,qty,price,region
2026-01-05,electronics,phone_x1,3,45000,msk
2026-01-07,electronics,laptop_a3,1,92000,spb
2026-01-09,home,kettle_k2,5,2500,msk
2026-01-12,electronics,phone_x1,2,45000,ekb
2026-01-15,home,vacuum_v8,1,18000,spb
2026-01-18,grocery,coffee_1kg,12,1400,msk
2026-01-21,electronics,tablet_t5,2,31000,msk
2026-01-25,home,kettle_k2,3,2500,ekb
2026-01-28,grocery,tea_500g,8,900,spb
2026-02-02,electronics,laptop_a3,1,92000,msk
2026-02-04,grocery,coffee_1kg,10,1450,ekb
2026-02-08,home,vacuum_v8,2,18000,msk
2026-02-11,electronics,phone_x1,4,44000,spb
2026-02-14,grocery,tea_500g,,900,msk
2026-02-17,home,lamp_l1,6,3200,ekb
2026-02-20,electronics,tablet_t5,1,31000,spb
2026-02-23,grocery,coffee_1kg,9,1450,msk
2026-02-26,home,kettle_k2,4,2600,spb
2026-03-03,electronics,phone_x1,5,44000,msk
2026-03-06,grocery,sugar_1kg,15,120,ekb
2026-03-09,home,vacuum_v8,1,,msk
2026-03-12,electronics,laptop_a3,2,90000,ekb
2026-03-15,grocery,tea_500g,7,950,spb
2026-03-18,home,lamp_l1,4,3200,msk
2026-03-21,electronics,tablet_t5,3,30500,ekb
2026-03-24,grocery,coffee_1kg,11,1500,spb
2026-03-27,home,kettle_k2,2,2600,msk
2026-03-30,electronics,phone_x1,1,44000,spb
